;dest src x_int slope
949 945 107.722884518 0.0012275184975
1129 1125 107.722884518 0.00238026482464
1323 1319 107.722884518 0.00224289654164
1107 1111 107.722884518 0.00396744421438
1275 1271 107.722884518 0.00453778380299
411 407 107.722884518 0.00715029286125
1079 1083 107.722884518 0.00294207535603
1317 1321 107.722884518 0.00384279887584
927 923 107.722884518 0.00101024738219
545 549 107.722884518 0.00204212618482
1393 1397 107.722884518 0.00247854007035
1175 1171 107.722884518 0.00156328659365
955 959 107.722884518 0.00352611656728
717 713 107.722884518 0.00262767694294
987 983 107.722884518 0.0115075475933
1531 1535 107.722884518 0.00341577165759
453 449 107.722884518 0.0049719200854
493 489 107.722884518 0.00480068801674
725 721 107.722884518 0.00156955200887
519 515 107.722884518 0.00321746943541
817 821 107.722884518 0.00138996415804
1055 1051 107.722884518 0.00191837276588
773 769 107.722884518 0.00243331655555
887 891 107.722884518 0.00231578576722
553 549 107.722884518 0.00617237833686
1131 1127 107.722884518 0.00364235572979
607 611 107.722884518 0.00219893520942
1091 1095 107.722884518 0.00581091444165
1179 1175 107.722884518 0.00891736316009
1207 1203 107.722884518 0.00204655209398
983 979 107.722884518 0.00139238776281
1035 1031 107.722884518 0.00213319525914
835 831 107.722884518 0.00237218483448
1509 1513 107.722884518 0.00790880885401
1051 1055 107.722884518 0.00271303349008
589 585 107.722884518 0.00506694177362
1071 1075 107.722884518 0.00110461297723
397 393 107.722884518 0.00310741951584
1267 1271 107.722884518 0.00255479912131
1007 1003 107.722884518 0.00238866514168
891 887 107.722884518 0.0037031951562
1515 1511 107.722884518 0.0050446614973
1319 1323 107.722884518 0.00150458049983
1101 1097 107.722884518 0.0020537251013
407 411 107.722884518 0.00333709875448
783 779 107.722884518 0.00152605210934
1439 1435 107.722884518 0.00212585153743
935 939 107.722884518 0.00431645707789
697 693 107.722884518 0.00489174310277
1271 1275 107.722884518 0.00411821498159
485 481 107.722884518 0.00123981377038
1463 1467 107.722884518 0.012028441128
1197 1193 107.722884518 0.0027606613042
715 719 107.722884518 0.0055310572246
