COMMENTS: Created on the 05/12/05
COMMENTS: Axes are: Energy and Angle
COMMENTS: PDFs are: Cut Value and TKR Plane (3x16)
COMMENTS: Parameters are: CAL Last Layer Coefficient(1), Log Normal Parameters(4)
COMMENTS: Log Normal Parameters are: Norm, MPV, Width, Tail
#PDFs: 32 #Parameters: 5
AXES:
2
1.13485 0.980553 2601.2 130.202 -0.392899 
1.23803 0.975492 2578.92 144.293 -0.362154 
1.43296 0.979808 2577.33 162.651 -0.387039 
1.63443 0.975848 2589.78 169.048 -0.382938 
1.92373 0.971252 2606.06 187.183 -0.325053 
1.54302 0.966062 4430.26 209.52 -0.439471 
1.78811 0.973965 4420.52 252.363 -0.373185 
1.98857 0.962229 4405.18 276.698 -0.339551 
2.13164 0.967057 4406.26 291.922 -0.354994 
2.15532 0.980868 4381.94 315.265 -0.388808 
2.24105 0.954843 8303.71 401.143 -0.440499 
2.5264 0.957735 8340.78 460.784 -0.401453 
2.91251 0.96543 8442.9 539.666 -0.399972 
3.19475 0.955658 8523.72 566.201 -0.378241 
3.31249 0.96968 8514.33 618.865 -0.364617 
2.43042 0.945787 9330 459.22 -0.385111 
2.77747 0.953092 9435.02 534.671 -0.388953 
2.84751 0.958648 9311.35 588.378 -0.393042 
3.16333 0.967832 9412.64 654.812 -0.344776 
3.38055 0.97111 9482.34 699.348 -0.339978 
3.05128 0.937235 19476.7 983.269 -0.455112 
4.23803 0.9097 20969.9 1216.47 -0.302899 
4.73175 0.952778 21467.9 1481.61 -0.411112 
5.16093 0.948893 21870 1587.12 -0.359761 
4.62488 0.965189 20639.9 1656.06 -0.338675 
3.88044 0.9157 31122.4 1613.2 -0.451787 
4.77129 0.924042 32763 2049.83 -0.359528 
5.56717 0.936031 34152.8 2414.25 -0.393324 
7.60415 0.950705 39167.9 3094.14 -0.339642 
5.41009 0.975325 32808.2 2740.09 -0.421215 
4.75301 0.916136 55334.3 3199.2 -0.423564 
6.69005 0.926634 63317.7 4306.49 -0.389182 
6.6527 0.95205 61274.2 4867.19 -0.446686 
6.15506 0.968923 57292.6 4872.87 -0.42723 
6.88177 0.950687 60220.3 5324.1 -0.364287 
PDF: Cut Value 0 and TKR Plane 5
