COMMENTS: Created on the 05/12/05
COMMENTS: Axes are: Energy and Angle
COMMENTS: PDFs are: Cut Value and TKR Plane (3x16)
COMMENTS: Parameters are: TKR Hits Coefficient(1), Log Normal Parameters(4)
COMMENTS: Log Normal Parameters are: Norm, MPV, Width, Tail
#PDFs: 48 #Parameters: 5
AXES:
2
1.50364 0.92109 493.089 46.6078 -0.443845
1.45771 0.92793 490.439 42.824 -0.431929
2.61257 0.967237 890.498 102.688 -0.447779
3.56461 0.96131 959.039 117.233 -0.388508
2.72232 0.943872 893.013 95.8133 -0.441229
1.51672 0.936807 815.827 69.5907 -0.500106
1.88938 0.951849 841.967 70.2711 -0.401964
3.16049 0.953019 1011.34 119.751 -0.383082
3.327 0.968221 1021.26 125.794 -0.438823
2.24642 0.943442 938.605 95.5295 -0.523401
1.66091 0.933992 904.392 78.691 -0.452074
2.08939 0.948553 936.175 76.9272 -0.372911
5.49711 0.985375 1980.9 282.312 -0.409654
5.30859 0.99274 1967.16 263.307 -0.537136
2.14952 0.950148 1699.45 176.742 -0.60356
1.76477 0.954645 1670.47 147.322 -0.471911
2.27706 0.976535 1701.95 141.301 -0.35877
5.63817 1.00502 2724.27 429.903 -0.492598
5.34813 1.03014 2745.86 383.224 -0.709399
4.73342 0.941272 2658.17 287.602 -0.572842
2.56492 0.949203 2449.51 225.637 -0.414451
3.59415 0.97514 2521.98 219.072 -0.304295
PDF: Cut Value 0 and TKR Plane 6
1.53288 0.896129 114.265 15.5773 0.0865096
1.32462 0.902373 99.6006 13.2813 0.0951509
1.57465 0.892913 115.813 16.5362 0.0713493
1.62503 0.913597 119.311 16.658 0.0392828
1.29692 0.931474 98.4017 13.832 0.00190074
1.27233 0.93075 105.637 14.8386 -0.0093503
1.47793 0.925494 117.243 16.9861 0.0549826
1.60368 0.921543 124.579 17.5744 0.0597085
1.32814 0.927432 108.187 15.4842 -0.0513506
1.56834 0.925098 123.803 17.693 0.0187452
1.59606 0.931283 159.335 22.6088 -0.0039184
1.33613 0.92623 142.023 19.6076 -0.153427
1.81222 0.919831 172.856 24.512 -0.0912688
1.82096 0.954801 173.807 25.7941 -0.0930943
1.86283 0.929224 177.776 25.8718 -0.124471
1.48668 0.956765 235.437 31.1638 -0.223632
1.49082 0.952261 235.394 31.3076 -0.272856
1.7026 0.954226 248.604 34.3848 -0.254234
1.75273 0.954675 255.344 35.0685 -0.319997
1.60309 0.971848 250.985 33.1309 -0.478636
